"author","author_date","committer","committer_date","sha","additions","deletions","total"
"RichardLitt","2015-03-24 12:04:00","RichardLitt","2015-03-24 12:04:00","d0a7ace89d8bd49f79d91e6940776e55496b2148","0","1","1"
"sindresorhus","2015-03-18 06:59:13","sindresorhus","2015-03-18 06:59:13","1788985efa31fd5fcbe321073be01b36e5126c5b","0","1","1"
"matiassingers","2015-03-18 05:21:06","matiassingers","2015-03-18 05:21:06","e8f376bd46d7c201f96f8f941f7690aad60d0a0f","0","1","1"
"therebelrobot","2015-03-02 16:18:41","sindresorhus","2015-03-02 16:18:41","92d68f546ef8cb2a30cb97a3e053df587e02e057","0","1","1"
"phanan","2015-03-01 15:33:06","sindresorhus","2015-03-01 15:33:06","a91876eabfc1a0d180b2a45fef19b3d7bd341a6b","0","1","1"
"sindresorhus","2015-02-26 05:49:18","sindresorhus","2015-02-26 05:49:18","801e599ce810d6c0a507d7356459f2d11f8f563e","0","1","1"
"marcobiedermann","2015-02-25 21:07:48","marcobiedermann","2015-02-25 21:07:48","4e0d6aa2cd3539b6bbac265ad3acd471dc785f3e","0","1","1"
"sindresorhus","2015-02-24 07:54:10","sindresorhus","2015-02-24 07:54:10","de47fcdd82dc6a7880160b4d30a15970c9851ce3","1","1","2"
"NARKOZ","2015-02-23 20:34:50","NARKOZ","2015-02-24 07:30:30","00eaf9b49bf2605a7f63c86069ee4c65b69f588f","1","1","2"
"sindresorhus","2015-02-23 05:53:31","sindresorhus","2015-02-23 05:53:31","214100c65cd0eac74a916bfc08938b6b2aa47b6b","1","1","2"
"jadb","2015-02-23 05:52:17","jadb","2015-02-23 05:52:17","0307836663e6d07d3aa2e32efd55456d89635703","1","1","2"
"sindresorhus","2015-02-20 03:27:05","sindresorhus","2015-02-20 03:27:05","8b7c5c0f14fbf092cb2e7dd6fc25df84b3f10b18","0","1","1"
"sindresorhus","2015-02-19 10:15:29","sindresorhus","2015-02-19 10:15:29","4ebf5e3ff2ba987b885c3b3f8651b38c0da1d3ed","0","1","1"
"arthurvr","2015-02-18 10:26:59","arthurvr","2015-02-18 10:26:59","2ece309ecdde1e9761c966f31bc0758e277a007f","0","1","1"
"melvin0008","2015-02-17 16:15:51","melvin0008","2015-02-17 16:15:51","4cecfae8687766d4bec17542f8363efc716b5363","0","1","1"
"sindresorhus","2015-02-16 02:41:31","sindresorhus","2015-02-16 02:41:31","3a8999d973dd990c29ad3b8520cba5cee7f8e00c","0","1","1"
