"author","author_date","committer","committer_date","sha","additions","deletions","total"
"elidupuis","2016-07-16 18:16:38","elidupuis","2016-07-16 18:16:38","7fd48e9d206c34e58066c932f411150f95c5e32d","11","12","23"
"elidupuis","2016-07-06 19:38:59","elidupuis","2016-07-06 19:52:36","f4b455a65d50537027942b06e46690e7e60b39ca","0","90","90"
"gjjones","2016-05-12 12:08:41","gjjones","2016-05-12 12:11:29","34d9500844bfe3dc944ce71e538ddf0f2a879623","0","83","83"
"","2016-05-07 18:27:13","","2016-05-07 18:27:13","6dc57024158905299cd4c13033b39b9f3ad87de3","1","1","2"
"","2016-05-07 18:09:38","","2016-05-07 18:09:38","a100c53681734e96e81e86eb82c0e199ed017c1c","6","12","18"
"GreLI","2016-04-27 12:58:11","GreLI","2016-04-27 12:58:11","e0ca3f09efe343b0c8c8e9df16e65f796a8ab81e","2","8","10"
"GreLI","2016-04-27 12:56:41","GreLI","2016-04-27 12:56:41","6bd922258de74cd52975b98b5c3b50d9aebebb21","0","1","1"
"keithclark","2016-04-26 19:14:18","keithclark","2016-04-26 19:14:18","abffd7db09a23cf6ee69d2f49402394d70a1d489","2","8","10"
"GreLI","2016-04-25 11:29:00","GreLI","2016-04-25 11:29:00","fd605b694489551f4ba9ee745c7319f0c2c8bbc1","1","4","5"
"GreLI","2016-04-25 11:28:15","GreLI","2016-04-25 11:28:15","df6f48210e686b816035629ca4e4a0bf209c46e0","2","2","4"
"GreLI","2016-04-25 11:20:13","GreLI","2016-04-25 11:20:13","bb1fe4ab450f6d0787712eb00a673034d436fbe3","5","11","16"
"GreLI","2016-04-25 11:03:28","GreLI","2016-04-25 11:03:28","2bbabeedb09feb70cd8e92d3c9fdedd8afc34f6f","0","19","19"
"GreLI","2016-04-25 10:35:25","GreLI","2016-04-25 10:36:02","7d556d06b915a311cbca6fee69a701fcf0d8e86d","1","16","17"
"GreLI","2016-04-24 18:32:36","GreLI","2016-04-24 18:32:36","9b925614222a5953c6eab126d7c4f26db97c594a","1","3","4"
"GreLI","2016-04-24 18:31:05","GreLI","2016-04-24 18:31:05","7bd3d1edc701c241f1cb28e508d83d4510f411b8","17","0","17"
"GreLI","2016-04-24 18:29:01","GreLI","2016-04-24 18:29:01","65efced355222b33ec640596e1210f3e181738f9","14","11","25"
"ricardobeat","2016-04-05 17:19:44","ricardobeat","2016-04-05 17:23:49","dd8e385695fd1f5eecd234edbd4e7c6acc7cd7d6","5","7","12"
"ricardobeat","2016-04-05 16:06:57","ricardobeat","2016-04-05 16:06:57","768107b33deb6a6e8c06ad3ed372e75b680a2e00","0","29","29"
"GreLI","2016-04-05 14:47:39","GreLI","2016-04-05 15:12:30","b35d828d49e2608d889df8ccebd9d499ede37583","7","13","20"
"GreLI","2016-04-05 15:01:26","GreLI","2016-04-05 15:03:36","9f545d2420f019bc2737a9127ab7eef929d8aa76","3","9","12"
"GreLI","2016-04-05 14:27:47","GreLI","2016-04-05 14:29:05","2f88a38730c3d2cccb7d2d724291c464390168b8","74","3","77"
"GreLI","2016-04-03 18:51:59","GreLI","2016-04-03 18:51:59","3d93e8f99c1262422b839a3c082618b449c07ab5","1","2","3"
"GreLI","2016-03-27 07:26:56","GreLI","2016-03-27 07:26:56","dd490041638bb20d29c1af7d9f2cf332aae305c1","0","1","1"
"GreLI","2016-03-27 07:26:00","GreLI","2016-03-27 07:26:00","7daab7343ab3cb422a156d2cdbfbd97eed303de0","1","33","34"
"GreLI","2016-03-27 07:24:32","GreLI","2016-03-27 07:24:32","8e7cc54d8b3ee4ec047e75485444bfc50a2751fe","1","73","74"
"scurker","2016-03-27 03:14:29","scurker","2016-03-27 03:14:29","3d8496033cfb94fd366612b8e2c656bedc266a9a","1","73","74"
"waldyrious","2016-03-24 22:33:25","waldyrious","2016-03-24 22:33:25","b0598a226821715c4f80c5b2747be88f7dccb3c1","0","1","1"
"GreLI","2016-03-24 19:04:01","GreLI","2016-03-24 19:04:01","b80944cb825036314758020926dfdb54c602e181","30","3","33"
"lahmatiy","2016-03-24 18:57:43","lahmatiy","2016-03-24 18:57:43","df9cd399c0bd25f6597f36c13bbd3a530c08a93b","30","3","33"
"scurker","2016-03-22 13:33:24","scurker","2016-03-22 13:33:24","8e5706485e993267f1be7e72048e69649317c5ff","1","1","2"
